6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
0.0,0.0,84001001.0,"Autauga, Alabama, US",5.0,5.0
1.0,1.0,84001003.0,"Baldwin, Alabama, US",9.0,9.0
0.0,0.0,84001005.0,"Barbour, Alabama, US",1.0,1.0
0.0,0.0,84008063.0,"Kit Carson, Colorado, US",3.0,3.0
0.0,0.0,84008065.0,"Lake, Colorado, US",0.0,0.0
0.0,0.0,84008067.0,"La Plata, Colorado, US",1.0,1.0
5.0,5.0,84008069.0,"Larimer, Colorado, US",28.0,28.0
233.0,231.0,84009003.0,"Hartford, Connecticut, US",1253.0,1259.0
4.0,4.0,84001017.0,"Chambers, Alabama, US",26.0,26.0
0.0,0.0,84001019.0,"Cherokee, Alabama, US",3.0,3.0
0.0,0.0,84001021.0,"Chilton, Alabama, US",1.0,1.0
1.0,1.0,84001023.0,"Choctaw, Alabama, US",10.0,10.0
0.0,0.0,84001025.0,"Clarke, Alabama, US",2.0,2.0
0.0,0.0,84001027.0,"Clay, Alabama, US",2.0,2.0
0.0,0.0,84001029.0,"Cleburne, Alabama, US",1.0,1.0
0.0,0.0,84001031.0,"Coffee, Alabama, US",1.0,1.0
0.0,0.0,84001033.0,"Colbert, Alabama, US",2.0,2.0
0.0,0.0,84001035.0,"Conecuh, Alabama, US",1.0,1.0
0.0,0.0,84001037.0,"Coosa, Alabama, US",1.0,1.0
0.0,0.0,84001039.0,"Covington, Alabama, US",1.0,1.0
0.0,0.0,84001041.0,"Crenshaw, Alabama, US",3.0,3.0
0.0,0.0,84001043.0,"Cullman, Alabama, US",1.0,1.0
0.0,0.0,84001045.0,"Dale, Alabama, US",0.0,0.0
0.0,0.0,84001047.0,"Dallas, Alabama, US",3.0,3.0
0.0,0.0,84001049.0,"DeKalb, Alabama, US",3.0,3.0
1.0,1.0,84001051.0,"Elmore, Alabama, US",9.0,9.0
0.0,0.0,84001053.0,"Escambia, Alabama, US",3.0,3.0
2.0,2.0,84001055.0,"Etowah, Alabama, US",12.0,12.0
0.0,0.0,84001057.0,"Fayette, Alabama, US",0.0,0.0
1.0,1.0,84001059.0,"Franklin, Alabama, US",8.0,8.0
0.0,0.0,84001061.0,"Geneva, Alabama, US",0.0,0.0
0.0,0.0,84001063.0,"Greene, Alabama, US",4.0,4.0
1.0,1.0,84001065.0,"Hale, Alabama, US",9.0,9.0
0.0,0.0,84001067.0,"Henry, Alabama, US",2.0,2.0
0.0,0.0,84001069.0,"Houston, Alabama, US",5.0,5.0
0.0,0.0,84001071.0,"Jackson, Alabama, US",3.0,3.0
19.0,18.0,84001073.0,"Jefferson, Alabama, US",103.0,103.0
0.0,0.0,84001075.0,"Lamar, Alabama, US",0.0,0.0
0.0,0.0,84001077.0,"Lauderdale, Alabama, US",2.0,2.0
0.0,0.0,84001079.0,"Lawrence, Alabama, US",0.0,0.0
6.0,6.0,84001081.0,"Lee, Alabama, US",34.0,34.0
0.0,0.0,84001083.0,"Limestone, Alabama, US",0.0,0.0
2.0,2.0,84001085.0,"Lowndes, Alabama, US",12.0,12.0
0.0,0.0,84001087.0,"Macon, Alabama, US",4.0,4.0
