UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84001001,Autauga,Alabama,US,"Autauga, Alabama, US",4,5,5,5,5,5
84001003,Baldwin,Alabama,US,"Baldwin, Alabama, US",9,9,9,9,9,9
84001005,Barbour,Alabama,US,"Barbour, Alabama, US",1,1,1,1,1,1
84008063,Kit Carson,Colorado,US,"Kit Carson, Colorado, US",3,3,3,3,3,3
84008065,Lake,Colorado,US,"Lake, Colorado, US",0,0,0,0,0,0
84008067,La Plata,Colorado,US,"La Plata, Colorado, US",1,1,1,1,1,1
84008069,Larimer,Colorado,US,"Larimer, Colorado, US",27,28,28,28,28,28
84009003,Hartford,Connecticut,US,"Hartford, Connecticut, US",1250,1259,1253,1259,1266,1277
84001017,Chambers,Alabama,US,"Chambers, Alabama, US",25,25,26,26,26,26
84001019,Cherokee,Alabama,US,"Cherokee, Alabama, US",3,3,3,3,3,3
84001021,Chilton,Alabama,US,"Chilton, Alabama, US",1,1,1,1,1,1
84001023,Choctaw,Alabama,US,"Choctaw, Alabama, US",8,10,10,10,10,10
84001025,Clarke,Alabama,US,"Clarke, Alabama, US",2,2,2,2,2,2
84001027,Clay,Alabama,US,"Clay, Alabama, US",2,2,2,2,2,2
84001029,Cleburne,Alabama,US,"Cleburne, Alabama, US",1,1,1,1,1,1
84001031,Coffee,Alabama,US,"Coffee, Alabama, US",1,1,1,1,1,1
84001033,Colbert,Alabama,US,"Colbert, Alabama, US",2,2,2,2,2,2
84001035,Conecuh,Alabama,US,"Conecuh, Alabama, US",1,1,1,1,1,1
84001037,Coosa,Alabama,US,"Coosa, Alabama, US",1,1,1,1,1,1
84001039,Covington,Alabama,US,"Covington, Alabama, US",1,1,1,1,1,1
84001041,Crenshaw,Alabama,US,"Crenshaw, Alabama, US",3,3,3,3,3,3
84001043,Cullman,Alabama,US,"Cullman, Alabama, US",0,1,1,1,1,1
84001045,Dale,Alabama,US,"Dale, Alabama, US",0,0,0,0,0,0
84001047,Dallas,Alabama,US,"Dallas, Alabama, US",3,3,3,3,3,3
84001049,DeKalb,Alabama,US,"DeKalb, Alabama, US",3,3,3,3,3,3
84001051,Elmore,Alabama,US,"Elmore, Alabama, US",8,8,9,9,9,10
84001053,Escambia,Alabama,US,"Escambia, Alabama, US",3,3,3,3,3,3
84001055,Etowah,Alabama,US,"Etowah, Alabama, US",11,12,12,12,12,12
84001057,Fayette,Alabama,US,"Fayette, Alabama, US",0,0,0,0,0,0
84001059,Franklin,Alabama,US,"Franklin, Alabama, US",7,8,8,8,8,9
84001061,Geneva,Alabama,US,"Geneva, Alabama, US",0,0,0,0,0,0
84001063,Greene,Alabama,US,"Greene, Alabama, US",4,4,4,4,4,5
84001065,Hale,Alabama,US,"Hale, Alabama, US",9,9,9,9,9,10
84001067,Henry,Alabama,US,"Henry, Alabama, US",2,2,2,2,2,2
84001069,Houston,Alabama,US,"Houston, Alabama, US",4,4,5,5,5,5
